Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Quantity,Unit_Price,Revenue,City,Payment_Method,Order_Status,Customer_Age,Sales_Channel
ORD0186,5/24/2025,C1240,Meera,Monitor,electronics,8,12999,103992,Mumbai,Net Banking,cancelled,52,store
ORD0034,2/11/2025,C1250,Amit,USB CABLE,Accessories,3,199,597,Bangalore,Debit Card,COMPLETE,44,Store
ORD0078,4/16/2025,C1178,,Smartphone,Electronics,3,25000,75000,Kolkata,Net Banking,Completed,47,Online
ORD0001,3/4/2025,C1058,Amit,Smartphone,Electronics,3,25000,25000,Lucknow,UPI,PENDING,45,Online
ORD0012,2/10/2025,C1117,Rahul,Smartphone,Electronics,5,35000,175000,Bangalore,Net Banking,Completed,58,online
ORD0416,4/5/2025,C1144,Karan,WEBCAM,accessories,8,1299,10392,Chennai,Net Banking,Cancelled,63,store
ORD0023,4/19/2025,C1179,Meera,MOUSE,Accessories,8,599,4792,Hyderabad,Debit Card,Pending,21,ONLINE
ORD0073,4/27/2025,C1019,Arjun,mouse,accessories,5,999,4995,Ahmedabad,Credit Card,completed,25,ONLINE
ORD0183,9/5/2025,C1199,Pooja,TABLET,Electronics,4,15999,63996,Delhi,Credit Card,PENDING,31,ONLINE
ORD0132,6/4/2025,C1122,Karan,printer,Office,4,9999,39996,Jaipur,UPI,COMPLETE,120,Online
ORD0411,5/9/2025,C1193,Priya,USB Cable,accessories,1,499,499,Bangalore,Net Banking,PENDING,18,store
ORD0194,5/12/2025,C1084,Priya,HEADPHONES,Accessories,7,3999,27993,Mumbai,Credit Card,Pending,48,online
ORD0056,6/5/2025,C1156,Meera,Mouse,Accessories,6,399,2394,Chennai,UPI,PENDING,19,online
ORD0149,5/1/2025,C1012,Arjun,WEBCAM,accessories,1,1999,1999,Chennai,UPI,Cancelled,22,online
ORD0019,1/25/2025,C1169,Vikram,Tablet,electronics,4,9999,39996,Kolkata,Cash,COMPLETE,64,Online
ORD0205,5/20/2025,C1109,Karan,MOUSE,Accessories,8,999,7992,Hyderabad,Cash,Cancelled,27,online
ORD0079,1/30/2025,C1249,Vikram,Monitor,Electronics,5,12999,64995,Lucknow,Cash,completed,21,Store
ORD0425,5/4/2025,C1198,Sneha,Printer,office,7,14999,104993,Jaipur,Net Banking,COMPLETE,19,store
ORD0263,6/24/2025,C1196,Rahul,Headphones,Accessories,8,2499,19992,Jaipur,UPI,Completed,28,store
ORD0324,5/2/2025,C1236,Rohit,Keyboard,Accessories,1,1499,1499,Pune,Debit Card,Cancelled,35,store
ORD0351,4/15/2025,C1076,Amit,Keyboard,Accessories,6,1499,8994,Jaipur,Credit Card,cancelled,48,online
ORD0080,5/8/2025,C1161,Anjali,Webcam,Accessories,6,2999,,Chennai,Net Banking,Pending,36,store
ORD0040,,C1179,Rohit,mouse,Accessories,7,599,4193,Kolkata,Cash,cancelled,65,Store
ORD0452,3/11/2025,C1180,Pooja,SMARTPHONE,Electronics,8,35000,280000,Pune,UPI,Pending,21,ONLINE
ORD0047,3/12/2025,C1197,Karan,MOUSE,Accessories,4,unknown,3996,Hyderabad,Debit Card,completed,22,online
ORD0239,4/29/2025,C1242,Meera,webcam,accessories,1,2999,2999,Chennai,UPI,COMPLETE,44,store
ORD0392,1/30/2025,C1047,Arjun,Keyboard,Accessories,5,699,3495,Jaipur,Net Banking,Completed,36,Online
ORD0353,3/17/2025,C1068,Anjali,Mouse,Accessories,4,599,2396,Bangalore,UPI,COMPLETE,36,online
ORD0342,1/23/2025,C1034,Pooja,HEADPHONES,Accessories,3,"45,000",11997,Kolkata,Cash,completed,48,store
ORD0278,3/10/2025,C1188,,Headphones,accessories,6,1499,8994,Kolkata,Debit Card,PENDING,22,online
ORD0291,3/25/2025,C1038,Priya,usb cable,accessories,1,199,199,Kolkata,Net Banking,Completed,61,online
ORD0318,5/14/2025,C1108,Karan,WEBCAM,Accessories,1,1999,1999,Hyderabad,Cash,Cancelled,23,store
ORD0305,2/10/2025,C1188,Vikram,MOUSE,Accessories,6,399,2394,Pune,Credit Card,cancelled,53,ONLINE
ORD0269,2/24/2025,C1161,,printer,office,6,14999,89994,Ahmedabad,Cash,COMPLETE,31,Online
ORD0070,6/2/2025,C1203,Pooja,webcam,Accessories,N/A,2999,20993,Kolkata,Cash,completed,37,ONLINE
ORD0456,1/9/2025,C1051,Anjali,Tablet,Electronics,8,9999,79992,Hyderabad,Cash,completed,61,online
ORD0466,5/5/2025,C1050,Priya,Laptop,Electronics,4,45000,180000,Kolkata,Cash,PENDING,57,ONLINE
ORD0155,6/4/2025,C1184,Vikram,mouse,Accessories,5,599,2995,Jaipur,Debit Card,completed,20,online
ORD0083,4/27/2025,C1142,Amit,PRINTER,Office,200,6999,55992,Ahmedabad,Net Banking,cancelled,26,Online
ORD0478,6/12/2025,C1200,Arjun,SMARTPHONE,Electronics,4,12000,48000,,Net Banking,Completed,38,ONLINE
ORD0173,12/5/2025,C1120,,Keyboard,accessories,3,999,2997,Delhi,UPI,completed,50,store
ORD0322,5/25/2025,C1200,Priya,USB Cable,Accessories,2,199,398,Pune,Cash,Cancelled,42,store
ORD0091,4/6/2025,C1111,Amit,laptop,Electronics,,65000,325000,Kolkata,Net Banking,cancelled,,Store
ORD0181,6/17/2025,C1201,Pooja,usb cable,Accessories,8,299,2392,Delhi,Net Banking,completed,28,ONLINE
ORD0415,5/18/2025,C1109,,Tablet,Electronics,5,15999,79995,Chennai,Cash,COMPLETE,31,store
ORD0313,2/18/2025,C1105,Meera,Smartphone,Electronics,6,18000,108000,Chennai,Debit Card,Pending,24,Online
ORD0279,4/27/2025,C1131,Neha,USB Cable,accessories,2,299,598,Ahmedabad,Credit Card,Cancelled,28,online
ORD0382,3/3/2025,C1232,Arjun,smartphone,Electronics,6,35000,210000,Pune,Cash,COMPLETE,25,store
ORD0473,3/7/2025,C1093,Anjali,KEYBOARD,accessories,7,1499,10493,Delhi,UPI,Cancelled,56,Online
ORD0363,6/4/2025,C1247,Pooja,Webcam,Accessories,1,1299,1299,Lucknow,Credit Card,cancelled,60,store
ORD0325,18/03/2025,C1250,Meera,SMARTPHONE,electronics,4,18000,72000,Chennai,Cash,PENDING,N/A,Online
ORD0432,6/25/2025,C1199,Amit,WEBCAM,Accessories,6,1999,11994,Lucknow,Cash,Cancelled,62,Online
ORD0348,2/1/2025,C1141,Rohit,TABLET,Electronics,8,15999,127992,Bangalore,Credit Card,cancelled,61,Online
ORD0087,5/9/2025,C1248,Pooja,Printer,Office,1,6999,6999,Jaipur,UPI,PENDING,47,Online
ORD0076,1/24/2025,C1059,Arjun,USB Cable,Accessories,5,199,995,Chennai,Net Banking,Completed,29,store
ORD0439,5/28/2025,C1148,Arjun,smartphone,electronics,6,18000,108000,Pune,Debit Card,cancelled,50,store
ORD0016,4/26/2025,C1031,Sneha,monitor,Electronics,8,18999,151992,Pune,UPI,PENDING,53,Store
ORD0250,2/4/2025,C1081,Priya,usb cable,accessories,2,12k,998,Mumbai,Credit Card,Cancelled,62,Store
ORD0434,3/29/2025,C1094,,MOUSE,accessories,8,999,7992,Hyderabad,Cash,cancelled,41,online
ORD0020,3/28/2025,C1205,Priya,smartphone,Electronics,1,35000,35000,Hyderabad,Net Banking,completed,26,store
ORD0323,2/14/2025,C1071,Vikram,usb cable,Accessories,8,199,1592,Ahmedabad,Cash,Completed,43,online
ORD0333,5/11/2025,C1170,Neha,USB Cable,accessories,2,199,398,Mumbai,Cash,Completed,39,online
ORD0057,2/20/2025,C1020,Pooja,usb cable,Accessories,7,299,2093,Chennai,Net Banking,COMPLETE,25,ONLINE
ORD0302,3/21/2025,C1045,Anjali,Keyboard,Accessories,8,1499,11992,Delhi,Credit Card,PENDING,32,Online
ORD0230,4/8/2025,C1183,Arjun,smartphone,Electronics,5,18000,90000,Kolkata,Debit Card,Cancelled,24,Online
ORD0332,3/31/2025,C1118,Rohit,mouse,accessories,7,599,4193,Chennai,Net Banking,COMPLETE,57,store
ORD0133,3/5/2025,C1182,Anjali,WEBCAM,Accessories,3,1299,3897,Lucknow,Net Banking,Pending,41,online
ORD0138,1/26/2025,C1130,Karan,Headphones,Accessories,2,2499,4998,Pune,Net Banking,Pending,56,store
ORD0424,1/19/2025,C1129,Rohit,Tablet,Electronics,2,24999,49998,Lucknow,Debit Card,PENDING,54,online
ORD0336,5/27/2025,C1209,Sneha,Tablet,Electronics,1,24999,24999,Hyderabad,Net Banking,cancelled,48,online
ORD0026,6/18/2025,C1150,Pooja,USB Cable,accessories,2,299,598,Hyderabad,Debit Card,Pending,34,store
ORD0465,4/15/2025,C1165,Neha,USB Cable,Accessories,5,299,1495,Lucknow,UPI,Completed,26,Store
ORD0282,6/22/2025,C1231,,monitor,Electronics,2,18999,37998,Lucknow,UPI,completed,22,store
ORD0248,1/17/2025,C1148,Priya,keyboard,accessories,5,1499,7495,Pune,Credit Card,completed,,online
ORD0238,4/7/2025,C1072,Vikram,Printer,Office,4,9999,39996,Ahmedabad,Credit Card,PENDING,52,Store
ORD0118,2/16/2025,C1223,Amit,MONITOR,Electronics,6,8999,53994,Bangalore,UPI,Completed,65,ONLINE
ORD0043,6/22/2025,C1080,Sneha,monitor,Electronics,2,8999,17998,Delhi,UPI,Pending,48,ONLINE
ORD0221,5/16/2025,C1185,Rohit,Tablet,Electronics,1,9999,9999,Lucknow,Cash,COMPLETE,29,Online
ORD0177,,C1204,Neha,Headphones,Accessories,2,3999,7998,Hyderabad,Net Banking,PENDING,43,ONLINE
ORD0321,6/29/2025,C1160,Pooja,MOUSE,Accessories,8,399,3192,Kolkata,Credit Card,Pending,54,ONLINE
ORD0012,4/19/2025,C1021,Vikram,monitor,Electronics,5,8999,44995,Chennai,Debit Card,Completed,23,online
ORD0232,1/7/2025,C1023,Neha,Webcam,Accessories,3,1299,9093,Ahmedabad,Debit Card,COMPLETE,42,Online
ORD0228,1/20/2025,C1088,Pooja,SMARTPHONE,electronics,7,18000,126000,Delhi,Debit Card,COMPLETE,46,store
ORD0418,4/10/2025,C1247,Arjun,USB Cable,Accessories,1,199,199,Bangalore,Cash,PENDING,45,Online
ORD0204,1/31/2025,C1046,Karan,SMARTPHONE,Electronics,3,25000,75000,Bangalore,Credit Card,COMPLETE,18,Online
ORD0127,1/20/2025,C1131,Arjun,Keyboard,Accessories,6,699,4194,Lucknow,Credit Card,COMPLETE,40,online
ORD0330,1/13/2025,C1042,Pooja,mouse,Accessories,1,599,error,Hyderabad,Credit Card,Cancelled,59,store
ORD0032,1/20/2025,C1242,Meera,tablet,Electronics,1,9999,9999,Delhi,Debit Card,PENDING,53,Store
ORD0114,1/24/2025,C1111,Priya,Smartphone,Electronics,2,12000,24000,Lucknow,UPI,PENDING,53,ONLINE
ORD0471,5/21/2025,C1103,Karan,Smartphone,Electronics,3,18000,54000,Bangalore,Net Banking,PENDING,46,online
ORD0272,5/7/2025,C1099,Priya,mouse,accessories,1,399,399,Ahmedabad,UPI,PENDING,18,online
ORD0141,4/8/2025,C1129,Karan,PRINTER,Office,8,9999,79992,Hyderabad,Net Banking,Pending,34,Online
ORD0058,6/19/2025,C1095,Priya,Laptop,Electronics,6,72000,432000,Kolkata,Cash,Completed,45,online
ORD0193,4/28/2025,C1166,Rohit,monitor,Electronics,3,18999,56997,Pune,Debit Card,PENDING,,Store
ORD0025,6/22/2025,C1221,Sneha,HEADPHONES,Accessories,2,999,1998,Ahmedabad,Credit Card,PENDING,56,Online
ORD0018,6/21/2025,C1125,Sneha,webcam,Accessories,4,1999,7996,Ahmedabad,Net Banking,completed,33,store
ORD0266,1/20/2025,C1034,Pooja,laptop,Electronics,4,72000,288000,Jaipur,UPI,Completed,62,online
ORD0067,5/22/2025,C1075,Meera,mouse,Accessories,1,399,399,Jaipur,UPI,COMPLETE,18,ONLINE
ORD0209,1/16/2025,C1143,Pooja,tablet,Electronics,5,15999,79995,Kolkata,Net Banking,completed,21,online
ORD0480,4/21/2025,C1075,Vikram,webcam,Accessories,2,"45,000",2598,Pune,UPI,completed,54,Online
ORD0095,4/2/2025,C1148,Rohit,Keyboard,Accessories,7,1499,10493,Kolkata,Debit Card,Completed,54,Online
ORD0254,26/02/2025,C1075,Rahul,Headphones,Accessories,2,999,1998,Lucknow,Debit Card,Pending,5,ONLINE
ORD0267,5/3/2025,C1019,Sneha,SMARTPHONE,Electronics,7,18000,126000,Mumbai,UPI,Cancelled,41,online
ORD0024,3/22/2025,C1015,Rahul,WEBCAM,Accessories,N/A,2999,2999,,Credit Card,Completed,50,Online
ORD0223,2/27/2025,C1077,Arjun,Printer,Office,4,14999,59996,Delhi,UPI,completed,42,store
ORD0262,4/20/2025,C1212,Sneha,SMARTPHONE,electronics,7,18000,126000,Pune,Debit Card,Cancelled,53,ONLINE
ORD0427,1/24/2025,C1103,Arjun,Mouse,Accessories,4,599,2396,Lucknow,Credit Card,completed,38,online
ORD0006,4/8/2025,C1072,Anjali,Smartphone,Electronics,4,12000,48000,Pune,Debit Card,Pending,60,online
ORD0117,6/9/2025,C1158,Arjun,Keyboard,Accessories,7,1499,10493,Chennai,UPI,Pending,35,online
ORD0046,4/24/2025,C1157,Meera,HEADPHONES,Accessories,8,2499,19992,Jaipur,Credit Card,cancelled,48,store
ORD0017,1/19/2025,C1182,Arjun,USB Cable,Accessories,4,199,796,Mumbai,UPI,COMPLETE,39,Online
ORD0463,4/26/2025,C1076,Rohit,Headphones,accessories,2,1499,2998,Delhi,Net Banking,completed,64,Store
ORD0358,3/8/2025,C1168,Neha,Printer,Office,1,6999,6999,Lucknow,Net Banking,cancelled,54,Store
ORD0004,4/2/2025,C1217,Neha,Smartphone,Electronics,7,12000,84000,Jaipur,Net Banking,Completed,42,Online
ORD0219,2/5/2025,C1216,Arjun,laptop,Electronics,1,72000,72000,Bangalore,UPI,Pending,thirty,store
ORD0406,2/23/2025,C1152,Amit,PRINTER,Office,8,9999,79992,Hyderabad,UPI,Pending,54,ONLINE
ORD0061,2/16/2025,C1125,Sneha,Laptop,electronics,8,65000,520000,Pune,Debit Card,PENDING,62,online
ORD0111,1/17/2025,C1033,Rohit,Smartphone,electronics,6,18000,108000,Ahmedabad,Net Banking,Cancelled,47,ONLINE
ORD0319,4/25/2025,C1045,Amit,laptop,Electronics,3,,135000,Bangalore,UPI,completed,23,store
ORD0429,3/5/2025,C1215,Pooja,Keyboard,Accessories,4,"45,000",2796,Mumbai,UPI,Completed,61,store
ORD0030,6/4/2025,C1054,Meera,Headphones,Accessories,5,2499,12495,Chennai,Net Banking,completed,34,Online
ORD0438,3/27/2025,C1067,Neha,Printer,Office,2,9999,19998,Lucknow,Debit Card,Cancelled,19,store
ORD0472,4/16/2025,C1196,Arjun,MONITOR,Electronics,6,12999,77994,Pune,Net Banking,Pending,54,ONLINE
ORD0027,3/22/2025,C1238,Priya,Headphones,accessories,5,3999,19995,Ahmedabad,Net Banking,Completed,22,ONLINE
ORD0412,4/13/2025,C1069,Priya,keyboard,Accessories,1,999,999,Pune,Credit Card,cancelled,49,store
ORD0454,4/18/2025,C1080,Anjali,Printer,office,4,9999,39996,Delhi,Debit Card,Completed,27,Online
ORD0109,5/12/2025,C1152,Priya,PRINTER,Office,8,9999,79992,Hyderabad,Net Banking,Completed,999,ONLINE
ORD0038,6/5/2025,C1131,Priya,MONITOR,Electronics,6,,77994,Hyderabad,Debit Card,Completed,63,store
ORD0158,4/26/2025,C1243,Neha,USB Cable,accessories,3,499,1497,,Net Banking,Pending,51,online
ORD0438,3/27/2025,C1067,Neha,Printer,Office,2,9999,19998,Lucknow,Debit Card,Cancelled,19,store
ORD0119,4/27/2025,C1088,Amit,Keyboard,accessories,7,999,6993,Pune,Net Banking,PENDING,23,Online
ORD0115,4/1/2025,C1224,Arjun,MONITOR,Electronics,2,12999,25998,Delhi,Debit Card,PENDING,37,online
ORD0176,3/15/2025,C1019,Vikram,KEYBOARD,Accessories,6,1499,8994,Chennai,Net Banking,cancelled,57,Online
ORD0374,1/16/2025,C1177,Rohit,mouse,Accessories,5,399,1995,Delhi,Debit Card,COMPLETE,46,Online
ORD0182,6/24/2025,C1063,Rahul,USB Cable,Accessories,7,199,1393,Delhi,Cash,Cancelled,44,Store
ORD0145,5/1/2025,C1115,Pooja,Printer,Office,3,14999,44997,Delhi,Debit Card,Pending,27,ONLINE
ORD0370,3/17/2025,C1116,Amit,mouse,accessories,7,599,4193,Ahmedabad,Net Banking,Cancelled,62,ONLINE
ORD0391,2/23/2025,C1192,Meera,Webcam,Accessories,2,1999,3998,Kolkata,Net Banking,Pending,28,Store
ORD0196,3/2/2025,C1016,Arjun,Mouse,accessories,6,999,5994,Chennai,Credit Card,completed,61,ONLINE
ORD0405,2/8/2025,C1048,Amit,Webcam,Accessories,5,,6495,Mumbai,Credit Card,completed,39,Online
ORD0276,3/3/2025,C1015,Sneha,Mouse,accessories,7,999,6993,Mumbai,Cash,PENDING,56,Online
ORD0455,5/20/2025,C1121,Amit,mouse,accessories,7,399,2793,,UPI,Completed,63,Store
ORD0142,1/27/2025,C1183,Karan,Printer,office,6,14999,89994,Mumbai,Credit Card,Cancelled,46,ONLINE
ORD0366,2/5/2025,C1211,Meera,LAPTOP,Electronics,3,72000,216000,Chennai,Net Banking,Pending,30,Online
ORD0068,4/23/2025,C1088,Amit,Mouse,accessories,8,599,4792,Jaipur,UPI,COMPLETE,22,store
ORD0211,1/15/2025,C1144,Vikram,MOUSE,Accessories,3,599,1797,Lucknow,Credit Card,completed,33,online
ORD0169,6/10/2025,C1140,Rohit,Tablet,electronics,1,15999,15999,Hyderabad,Cash,Cancelled,47,Online
ORD0218,4/1/2025,C1044,Amit,PRINTER,Office,3,14999,44997,Lucknow,UPI,PENDING,20,Online
ORD0376,3/6/2025,C1052,,MONITOR,Electronics,1,8999,8999,Pune,Net Banking,PENDING,65,ONLINE
ORD0401,5/5/2025,C1060,Priya,Monitor,electronics,1,8999,8999,Hyderabad,UPI,cancelled,31,ONLINE
ORD0273,5/26/2025,C1108,Neha,monitor,electronics,3,12999,38997,Mumbai,UPI,PENDING,22,Online
ORD0110,1/8/2025,C1016,Anjali,MOUSE,accessories,8,999,7992,Mumbai,Cash,cancelled,46,Online
ORD0249,4/10/2025,C1157,Vikram,Printer,office,6,14999,89994,Pune,Cash,PENDING,29,online
ORD0146,3/15/2025,C1061,Rohit,USB Cable,Accessories,7,199,1393,Hyderabad,Cash,cancelled,57,store
ORD0093,1/3/2025,C1231,Anjali,Printer,Office,5,14999,74995,Lucknow,Credit Card,Completed,46,online
ORD0153,4/5/2025,C1112,Vikram,MONITOR,electronics,5,8999,44995,Pune,Credit Card,completed,62,store
ORD0368,1/2/2025,C1136,Meera,USB Cable,Accessories,3,299,897,Kolkata,Net Banking,completed,50,Store
ORD0468,4/5/2025,C1204,Meera,Laptop,Electronics,,72000,432000,Chennai,Net Banking,Completed,64,Online
ORD0084,5/10/2025,C1069,Rahul,Mouse,Accessories,7,599,4193,Chennai,Net Banking,PENDING,,store
ORD0246,2/10/2025,C1085,Karan,WEBCAM,accessories,3,2999,8997,Hyderabad,Cash,cancelled,29,Store
ORD0166,2/11/2025,C1083,Meera,headphones,accessories,5,1499,7495,Lucknow,Debit Card,COMPLETE,23,online
ORD0164,4/16/2025,C1197,Vikram,Tablet,Electronics,8,24999,199992,Pune,UPI,completed,47,ONLINE
ORD0200,2/22/2025,C1184,Pooja,PRINTER,Office,2,14999,29998,Lucknow,Cash,COMPLETE,21,store
ORD0229,4/7/2025,C1111,Amit,KEYBOARD,Accessories,6,1499,N/A,Ahmedabad,Debit Card,COMPLETE,33,Online
ORD0075,4/14/2025,C1242,Rohit,PRINTER,office,5,14999,74995,Mumbai,Net Banking,Completed,45,online
ORD0479,5/9/2025,C1179,Sneha,usb cable,Accessories,3,299,897,Kolkata,Cash,COMPLETE,56,ONLINE
ORD0359,6/19/2025,C1187,Sneha,MONITOR,electronics,2,12999,25998,Kolkata,Credit Card,COMPLETE,53,ONLINE
ORD0251,6/2/2025,C1036,Pooja,WEBCAM,accessories,7,1999,13993,Bangalore,Cash,cancelled,52,Store
ORD0120,6/22/2025,C1021,Rohit,HEADPHONES,Accessories,3,999,2997,,Cash,PENDING,46,store
ORD0311,3/23/2025,C1067,Priya,Laptop,electronics,5,45000,225000,Bangalore,Cash,Pending,64,Online
ORD0300,6/18/2025,C1062,Rohit,Headphones,Accessories,2,1499,2998,Ahmedabad,Cash,Cancelled,29,Store
ORD0256,1/9/2025,C1116,Rohit,Smartphone,Electronics,4,25000,100000,Jaipur,UPI,COMPLETE,33,Store
ORD0355,3/29/2025,C1047,Priya,MOUSE,accessories,2,599,1198,Jaipur,Debit Card,COMPLETE,42,store
ORD0400,2/5/2025,C1115,,usb cable,Accessories,3,499,1497,Ahmedabad,Credit Card,cancelled,64,store
ORD0226,3/22/2025,C1005,Sneha,usb cable,Accessories,1,199,199,Kolkata,UPI,Cancelled,28,ONLINE
ORD0354,1/30/2025,C1025,Rahul,Monitor,Electronics,7,18999,132993,Bangalore,Debit Card,Cancelled,46,ONLINE
ORD0235,3/5/2025,C1185,Arjun,SMARTPHONE,Electronics,6,25000,150000,Ahmedabad,Credit Card,completed,24,Store
ORD0383,5/13/2025,C1211,Neha,MOUSE,accessories,5,399,1995,Delhi,Debit Card,cancelled,30,online
ORD0275,1/22/2025,C1080,Priya,smartphone,Electronics,3,25000,75000,Lucknow,Debit Card,completed,55,Online
ORD0037,1/30/2025,C1225,Rohit,webcam,Accessories,6,1299,,Chennai,UPI,Completed,56,store
ORD0197,3/17/2025,C1095,Pooja,mouse,Accessories,2,999,1998,Bangalore,Cash,Pending,47,ONLINE
ORD0140,4/25/2025,C1060,Karan,printer,office,5,14999,74995,Jaipur,Credit Card,Cancelled,61,ONLINE
ORD0365,6/18/2025,C1057,Rahul,Printer,office,2,6999,13998,Chennai,Net Banking,PENDING,41,Online
ORD0245,18-01-2025,C1077,Rahul,Printer,Office,8,9999,79992,Pune,UPI,cancelled,28,Store
ORD0440,6/7/2025,C1074,Anjali,printer,Office,2,9999,19998,Pune,Cash,cancelled,57,ONLINE
ORD0287,1/22/2025,C1149,Priya,tablet,Electronics,6,15999,95994,Kolkata,UPI,PENDING,54,Online
ORD0060,1/23/2025,C1072,Anjali,mouse,accessories,6,399,2394,Ahmedabad,Net Banking,cancelled,42,online
ORD0112,6/29/2025,C1030,Arjun,usb cable,accessories,,199,1393,Jaipur,Credit Card,completed,39,store
ORD0090,1/26/2025,C1195,Arjun,Keyboard,accessories,2,999,1998,Bangalore,Debit Card,Completed,20,online
